id,type,text1,text2,text3,notes
,,,,,
PLSP_electgenerator,WEAPON,"Using the simplest of linear accelerators and a hard-to-measure capacitor bank, the Charge Generator can deliver a short burst of hard-to-avoid firepower, making it particularly suited to mid-range engagements.",Assault,,
PLSP_electemitter,WEAPON,"With the aid of several cyclotron accelerators concealed beneath the casing, this advanced device continously fires a pulsed particle beam composed of nuclei, hitting the target before any effective evasive action can be performed.",Assault,,
PLSP_electprojecter,WEAPON,"The most significant improvement for the Charge Projector over other versions of its weapon series is the replacement of the staging device with a large set of flux shunts, which minimizes the need for buffering and preloading.",Assault,,
PLSP_impulses,WEAPON,"This torpedo is demonstrative of Polaris' love of linear accelerator concept. Designed to fire a high-powered kinetic warhead at tremendous speeds, it is capable of taking down shields at the inevitable point of impact.",Strike,,
PLSP_impulsem,WEAPON,"A larger launch platform for the Impulse Torpedo, the larger magazine size and asynchronous launch design allows for more effective overloading of shields with a single volley.",Strike,,
PLSP_impulsel,WEAPON,"This launcher features an advanced version of the Impulse Torpedo, which has been fitted with a more destructive warhead and a larger fuel tank for greater range and endurance. ",Strike,,
PLSP_pulsehp,WEAPON,"A pulse cannon capable of firing a large number of heavy particle clusters in a short interval. The radiant nature of the ordnance fired makes it more suitable for dismantling armor and superstructures rather than shields, or for covering assaults.",Assault,,
PLSP_pulseo,WEAPON,"The Superimposed Pulse Cannon is a relatively simple improvement on the Particle Pulse Cannon, using better capacitors alongside improvements to its guidance and targeting system, which significantly improves the killing ability of each targeted burst.",Assault,,
PLSP_pulsesc,WEAPON,"Most of its users do not know what kind of interpretation of ""supercritical"" applies here, but this does not affect the extremely high effectiveness of this magnificent weapon. The greatly improved single damage ability as compared to its predecessors means that even the heaviest armor will also be torn apart in a few shots of its fire.",Assault,,
PLSP_etherstrike,WEAPON,"The unique built-in weapon marked as ""Heaven and Earth"" in Axis-Class Battlecruiser's weapon system, it brutally destroys enemies with a quadruple high energy burst shot accelerated to unimaginable levels via its built in emitter.",Strike,,
PLSP_guidingpds,WEAPON,This point defense weapon uses a special field effect extension accelerator to shoot out polarized energy clusters at extremely high speeds. The field effect also allows the weapon to control the trajectory of its projectile to induce tracking on their targets.,Point Defense,,
PLSP_guidingpdm,WEAPON,"An upscaled version of Polaris' mainstay point defense system, the main differences being an enlarged linear acceleration cavity and additional field-effect accelerators, allowing for more powerful and more accurate projectiles.",Point Defense,,
PLSP_guidingpdl,WEAPON,"The largest and most definite version of Polaris' point defense systems, this upscaled and upgraded version boasts multiple field controllers of variable sizes, a series of heavy duty field-effect accelerator arrays, combined secondary acceleration units, all mounted on high-torque composite servomotors. All these upgrades combined on a single weapon allows it to demonstrate top-tier point defense interception. ",Point Defense,,
PLSP_streammicrowave,WEAPON,"A relatively new development in Polaris's arsenal that makes use of unique laser technology to create suppressive pseudo-beam weapons. The energy buffered in the capacitor banks is injected into a series of laser generators, and the resulting flux energy is then pumped through microtubules that are placed throughout the weapon to generate a particle jet.",Close Support,,
PLSP_streampolarization,WEAPON,"A heavier version of the Microwave Plasma Rifle. In addition to a larger capacitor bank and denser flux energy microtubes, an optimized spectral redirection protocol allows it to project a cleaner, more destructive particle jet.",Close Support,,
PLSP_streaminvert,WEAPON,"An improved version of Polaris's Particle Rifle technology. Part specifications for large weapon adaptations allow the laser's resonant cavity to be used for energy reserves as well. The multiple counter-feedback effects during the energy transition explode into a torrent of energy that, if not properly controlled, can tear apart space-time.",Close Support,,
