name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电荷发生器,PLSP_electgenerator,1,,500,600,,75,,5,30,7,10,1,,ENERGY,75,,0.2,0,,,,,,,,1400,,,,,,,"energy9, merc, PLSP_p, PLSP_bp",,北极星,,通用,,,,,,,,,,22.1
电荷激励器,PLSP_electemitter,2,,1800,700,,150,,10,15,14,12,1,,ENERGY,150,,0.2,0,,,,,,,,1400,,,,,,,"energy15, merc, PLSP_p, PLSP_bp",,北极星,,通用,,,,,,,,,,22.2
电荷投射器,PLSP_electprojecter,3,,5500,800,,150,,10,10,30,,,,ENERGY,150,,0.25,0,,,,,,,,1400,,,,,,,"energy18, merc, PLSP_p, PLSP_rp",,北极星,,通用,,,,,,,,,,22.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冲量 级 鱼雷发射管,PLSP_impulses,1,,800,1200,,1200,,50,10,5,3,,,KINETIC,0,,0,5,1,0,0,0,0,0,,600,500,3,450,,,GUIDED_POOR,"strike9, missile1, merc, PLSP_p, PLSP_bp",,北极星,,鱼雷,非常快,通用,,,,,,,TRUE,9.523
冲量 级 鱼雷发射台,PLSP_impulsem,2,,2000,1200,,1200,,50,10,14,14,,,KINETIC,0,,0,14.75,2,0.25,0,0,0,0,,600,500,3,450,,,GUIDED_POOR,"strike13, missile5, merc, PLSP_p, PLSP_bp",,北极星,,鱼雷,非常快,通用,,,,,,,TRUE,9.52
冲量 级 鱼雷发射舱,PLSP_impulsel,2,,6500,1600,,2000,,100,10,28,20,,,KINETIC,0,,0,14.5,2,0.5,0,0,0,0,,600,400,4,750,,,GUIDED_POOR,"strike18, missile12, merc, PLSP_p, PLSP_bp",,北极星,,鱼雷,非常快,通用,,,,,,,TRUE,9.521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重粒子脉冲炮,PLSP_pulsehp,2,0.5,800,700,,30,,5,15,9,,,,HIGH_EXPLOSIVE,24,,0.5,3.63,30,0.03,0,8,0.5,5,,1200,,,10,,,,"he9, LR, merc, PLSP_p, PLSP_bp",,北极星,,反装甲,,,,,,,,,,3.651
叠加式脉冲炮,PLSP_pulseo,2,0.5,2500,800,,45,,5,12,15,,,,HIGH_EXPLOSIVE,36,,0.5,4.48,35,0.03,1,10,0.75,4,,1200,,,10,,,,"he15, merc, PLSP_p, PLSP_bp",,北极星,,反装甲,,,,,,,,,,5.755
超临界脉冲炮,PLSP_pulsesc,2,0.5,6500,800,,70,,20,12,28,,,,HIGH_EXPLOSIVE,56,,0.5,4.33,40,0.03,1,10,1,3,,1200,,,20,,,,"he19, merc, PLSP_p, PLSP_bp",,北极星,,反装甲,,,,,,,,,,8.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轻型追迹 PD,PLSP_guidingpds,2,0.5,800,600,,100,,40,60,8,,,,ENERGY,100,,0,1,1,,0,0,0,0,,1000,,,30,,,"PD, ANTI_FTR, DO_NOT_AIM","pd10, merc, PLSP_p, PLSP_bp",,北极星,,点防御,,良好,,,,,,,,3.113
重型追迹 PD,PLSP_guidingpdm,2,0.5,3000,700,,200,,30,80,14,,,,ENERGY,200,,0,1,1,,0,0,0,0,,1000,,,30,,,"PD, ANTI_FTR, DO_NOT_AIM","pd17, merc, PLSP_p, PLSP_rp",,北极星,,点防御,,良好,,,,,,,,3.114
阵列追迹 PD,PLSP_guidingpdl,3,0.5,7000,800,,100,,25,40,22,,,,ENERGY,100,,0,1.35,4,0.05,0,0,0,0,,1200,,,30,,,"PD, ANTI_FTR, DO_NOT_AIM","pd20, merc, PLSP_p, PLSP_rp",,北极星,,点防御,,优秀,,,,,,,,3.115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微波射流,PLSP_streammicrowave,1,,300,800,250,,,0,30,4,,,,ENERGY,,200,0.5,0.2,1,1,,,,,100000,,,,,,,,"beam10, PLSP_p, PLSP_bp",,北极星,,通用,,,,,击中目标时持续产生微量橙色耀斑，吸引点防御并承受{%s}伤害。,100,,,,15.6141
极化射流,PLSP_streampolarization,1,,1500,800,400,,,0,20,9,,,,ENERGY,,320,0.8,0.2,1.5,2,,,,,100000,,,,,,,,"beam13, PLSP_p, PLSP_bp",,北极星,,通用,,,,,击中目标时持续产生微量紫色隙片，造成{%s}范围能量伤害。,75,,,,15.6142
逆变射流,PLSP_streaminvert,2,,4000,800,1000,,,0,8,18,,,,ENERGY,,800,1,0.2,2.5,4,,,,,100000,,,,,,,,"beam20, PLSP_p, PLSP_rp",,北极星,,通用,,,,,击中目标时持续产生微量蓝色光尘，自行索敌并造成{%s}EMP。,1000,,,,15.6143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
碎晶机炮,PLSP_iccannon,1,,400,400,,50,,20,80,3,,,,KINETIC,50,,0,0.6667,1,,,,,,,1000,,,30,,,"ANTI_FTR, PD, PD_ALSO","pd7, merc, PLSP_p, PLSP_bp",,北极星,,点防御 (区域),,,,,,,,,,4.1
碎晶高炮,PLSP_icflak,1,,1000,600,,100,,50,50,7,,,,KINETIC,100,,0,1,1,,,,,,,1200,,,30,,,"ANTI_FTR, PD, PD_ALSO","pd12, merc, PLSP_p, PLSP_bp",,北极星,,点防御 (区域),,,,,造成溅射时，额外产生{%s}个射程{%s}、其他属性相当于{%s}发射物的弹体。,5 | 50 | 碎晶机炮,,,,4.2
碎晶高炮弹体,PLSP_icflak2,,,,50,,50,,20,,,,,,KINETIC,,,0,1,1,,,,,,,1000,,,30,,,SYSTEM,,,北极星,,,,,,,,,,,,4.22
碎晶重炮,PLSP_icculverin,2,,3000,800,,300,,75,30,16,,,,KINETIC,300,,0,2,1,,,,,,,1200,,,30,,,"ANTI_FTR, PD, PD_ALSO","pd16, merc, PLSP_p, PLSP_bp",,北极星,,点防御 (区域),,,,,"造成溅射时，额外产生随机个{%s}与{%s}弹体。

产生一片碎晶区，在此区域内的敌方单位持续受到动能伤害，且速度越高伤害越大。",碎晶机炮 | 碎晶高炮,,,,4.3
碎晶重炮弹体,PLSP_icculverin2,,,,75,,100,,50,,,,,,KINETIC,,,0,1,1,,,,,,,1200,,,30,,,SYSTEM,,,北极星,,,,,,,,,,,,4.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
双曲衍射仪,PLSP_interferometerhyperbolic,1,,400,800,,75,,10,20,5,,,,HIGH_EXPLOSIVE,100,,0.25,0.5,,,,,,,,1000,,,,,,,"he6, LR, merc, PLSP_p, PLSP_bp",,北极星,,反装甲,,,,特殊,,,,,,22.1
谐振衍射仪,PLSP_interferometerresonant,2,,1500,800,,150,,20,10,11,,,,HIGH_EXPLOSIVE,195,,0.35,1.05,,,,,,,,1000,,,,,,,"he13, LR, merc, PLSP_p, PLSP_bp",,北极星,,反装甲,,,,特殊,,,,,,22.2
缩退衍射仪,PLSP_interferometerdegeneracy,2,,5000,900,,200,,20,7,25,,,,HIGH_EXPLOSIVE,240,,0.5,1.667,6,0.1,,,,,,1000,,,,,,,"he18, LR, merc, PLSP_p, PLSP_rp",,北极星,,反装甲,,,,特殊,,,,,,22.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偏振星 MIRV 发射器,PLSP_magnetics,1,,800,1400,,1000,,50,10,2,2,,,HIGH_EXPLOSIVE,0,,0,5,1,0,0,0,0,0,,300,200,6,300,,,DO_NOT_AIM,"strike6, missile2, merc, PLSP_p, PLSP_bp",,北极星,,终结打击,较快,优秀,,,当命中船体或装甲时，有{%s}的概率产生打击武器与引擎的电弧，并造成该武器命中目标时等值的额外伤害。,25%,所有弹体分为共{%s}波激发。每枚激发的弹体还将连带产生{%s}枚更小的磁流弹体，各造成{%s}伤害。,2 | 2 | 20%,TRUE,33.523
磁陀星 MIRV 发射器,PLSP_magneticm,2,,2000,2500,,1600,,100,10,9,5,,,HIGH_EXPLOSIVE,0,,0,10,1,0,0,0,0,0,,250,100,14,600,,,DO_NOT_AIM,"strike10, missile7, merc, PLSP_p, PLSP_rp",,北极星,,终结打击,较快,优秀,,,当命中船体或装甲时，有{%s}的概率产生打击武器与引擎的电弧，并造成该武器命中目标时等值的额外伤害。,25%,所有弹体分为共{%s}波激发。每枚激发的弹体还将连带产生{%s}枚更小的磁流弹体，各造成{%s}伤害。,2 | 2 | 20%,TRUE,33.52
磁陀星 MIRV 发射塔,PLSP_magneticl,2,,6500,2500,,1600,,100,10,20,10,,,HIGH_EXPLOSIVE,0,,0,9.5,2,0.5,0,0,0,0,,250,100,14,600,,,DO_NOT_AIM,"strike14, missile14, merc, PLSP_p, PLSP_rp",,北极星,,终结打击,较快,优秀,,,当命中船体或装甲时，有{%s}的概率产生打击武器与引擎的电弧，并造成该武器命中目标时等值的额外伤害。,25%,所有弹体分为共{%s}波激发。每枚激发的弹体还将连带产生{%s}枚更小的磁流弹体，各造成{%s}伤害。,2 | 2 | 20%,TRUE,33.521
大磁流弹体,PLSP_magnetic1,,,,600,,300,600,20,,,,,,HIGH_EXPLOSIVE,,,0,1,1,,,,,,,1000,,,30,,,SYSTEM,,,北极星,,,,,,,,,,,,41.3
小磁流弹体,PLSP_magnetic2,,,,500,,60,120,10,,,,,,HIGH_EXPLOSIVE,,,0,1,1,,,,,,,1000,,,30,,,SYSTEM,,,北极星,,,,,,,,,,,,42.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#内置武器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
红移脉冲,PLSP_redshiftw,,,,500,,250,,0,0,,,,,ENERGY,150,,0,0.65,,,,,,,,1000,,,,,,SYSTEM,SR,,北极星,,,,,,,,,,,,40
蓝移脉冲,PLSP_blueshiftw,,,,400,,100,400,,0,0,8,2,2,ENERGY,100,,0.05,0.05,,,3,20,1,4,,1200,,,,,,SYSTEM,SR,,北极星,,,,,,,,,,,,22.752
星云爆炎,PLSP_nebulablaze,,,,500,,400,,0,0,,,,,ENERGY,100,,0,5,,,,,,,,800,,,,,,SYSTEM,SR,,北极星,,,,,,,,,,,,40.1
闪能注入器,PLSP_perturbationw,,,,1600,,300,,30,30,,3,,,HIGH_EXPLOSIVE,0,,0,1,,,,,,,,800,200,3,200,,,"DO_NOT_AIM, SYSTEM",,,北极星,,,,,,,,,,,TRUE,11.5121
燃星者 鱼雷,PLSP_lighter,,,,800,,3000,,30,10,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,,,,,,600,400,2,350,,,"STRIKE, SYSTEM",,,北极星,,鱼雷,,,,,,,,,TRUE,9.9
